100000092,종로1가,N,37.5699833,126.9814333,서울,71461,471&702A서오릉&702B용두초&720&N37&101&150&405&501&506&601&606&7018&702B용두초교&710&721&7212&,서울특별시 종로구 종로 38 서울글로벌센터,서울특별시 종로구 서린동 63,서울특별시,종로구,서린동,63
100000093,종로1가,N,37.5700167,126.9802833,서울,71011,150&*9701&705&111&1020&103&109&160&260&270&271&273&370&470&471&710&720&721&7212&9701&N26&N37&,,서울특별시 종로구 종로1가 72,서울특별시,종로구,종로1가,72
100000094,종로1가,N,37.5704,126.9814167,서울,71462,150&606&101&405&471&501&506&601&7018&702A서오릉&702B용두초교&710&720&721&7212&N37&,서울특별시 종로구 종로 33 그랑서울,서울특별시 종로구 종로1가 40,서울특별시,종로구,종로1가,40
100000095,종로1가,N,37.5703833,126.9801833,서울,71463,471&720&N37&1020&103&109&160&260&270&271&273&370&470&6002&721&7212&N26&,서울특별시 종로구 종로 55 종각지하철역사,서울특별시 종로구 종로1가 54,서울특별시,종로구,종로1가,54
100000096,종로2가,N,37.5703667,126.9849333,서울,71464,150&471&720&N37&103&160&260&270&271&273&370&470&6002&601&710&721&7212&N26&,,서울특별시 종로구 종로2가 1-2,서울특별시,종로구,종로2가,1-2
100000097,종로2가,N,37.5703833,126.98655,서울,71008,201&*9401&9401공&111&*5500-1&*9000&*5500&*1005-1&*5500-2&*9301&101&103&143&262&470&471&501&701&7212&9401&9401공차&N15&N37&,서울특별시 종로구 종로 81,서울특별시 종로구 종로2가 17,서울특별시,종로구,종로2가,17
100000098,종로3가,N,37.5705167,126.9902833,서울,71014,150&201&720&111&*9301&101&103&143&160&260&262&270&271&273&370&6002&601&710&721&7212&N15&N26&,서울특별시 종로구 종로 129 1호선 종로3가역,서울특별시 종로구 종로3가 10-5,서울특별시,종로구,종로3가,10-5
100000099,종로4가종묘,N,37.5707,126.9945333,서울,71015,201&720&111&*9301&260&262&270&271&370&721&N15&N26&,서울특별시 종로구 종로 129 1호선 종로3가역,서울특별시 종로구 종로3가 45-4,서울특별시,종로구,종로3가,45-4
100000100,종로4가,N,37.57075,126.9955833,서울,71421,150&101&103&143&160&273&601&710&7212&,,서울특별시 종로구 종로4가 32-8,서울특별시,종로구,종로4가,32-8
100000101,종로5가,N,37.571,126.99905,서울,71465,201&260&262&270&271&N15&N26&,서울특별시 종로구 종로 200,서울특별시 종로구 종로4가 183,서울특별시,종로구,종로4가,183
100000102,원남동,N,37.5745667,126.9973333,서울,71466,106&150&100&104&140&143&160&2112&273&601&710&,서울특별시 종로구 창경궁로 135-1,서울특별시 종로구 원남동 278,서울특별시,종로구,원남동,278
100000105,조계사,N,37.5724,126.9832167,서울,71441,704&1020&109&151&162&172&401&406&606&7022&9401&9401공차&,서울특별시 종로구 우정국로 38 농협종로지점,서울특별시 종로구 견지동 111,서울특별시,종로구,견지동,111
100000106,조계사,N,37.5725167,126.9828167,서울,71442,606&1020&109&151&162&172&,서울특별시 종로구 우정국로 39 우정에쉐르,서울특별시 종로구 견지동 110-32,서울특별시,종로구,견지동,110-32
100000107,안국동,N,37.57465,126.9827167,서울,71443,606&1020&162&,,서울특별시 종로구 견지동 32-8,서울특별시,종로구,견지동,32-8
100000108,종로5가.효제동,N,37.5745,127.0022167,서울,71444,106&107&108&150&100&102&104&140&143&160&2112&273&7025&,,서울특별시 종로구 효제동 21,서울특별시,종로구,효제동,21
100000109,종로5가.효제초등학교,N,37.5729167,127.0021333,서울,71445,106&107&108&150&100&102&104&140&160&2112&273&7025&710&,,서울특별시 종로구 효제동 297-2,서울특별시,종로구,효제동,297-2
100000110,종로5가,N,37.5711167,127.0011167,서울,71017,720&111&*9301&,,서울특별시 종로구 종로5가 82-1,서울특별시,종로구,종로5가,82-1
100000111,종로6가,N,37.5712,127.0022333,서울,71446,107&108&102&103&2112&7025&,서울특별시 종로구 종로 219,서울특별시 종로구 종로5가 80-1,서울특별시,종로구,종로5가,80-1
100000112,종로6가,N,37.5712333,127.0054333,서울,71019,152&201&720&111&*9301&,,서울특별시 종로구 종로5가 11-2,서울특별시,종로구,종로5가,11-2
100000114,종로6가,N,37.5709,127.0059667,서울,71447,201&2014&407&7212&,서울특별시 종로구 종로 254-1,서울특별시 종로구 종로5가 270-2,서울특별시,종로구,종로5가,270-2
100000118,동대문,N,37.5717667,127.0084,서울,71449,107&108&102&301&7025&N16&,서울특별시 종로구 율곡로 288,서울특별시 종로구 종로6가 94-11,서울특별시,종로구,종로6가,94-11
100000119,충신동,N,37.57405,127.0062667,서울,71432,107&108&102&301&7025&N16&,서울특별시 종로구 율곡로 256-1,서울특별시 종로구 충신동 27-60,서울특별시,종로구,충신동,27-60
100000120,종로6가.종로신진시장,N,37.5708833,127.0045,서울,71018,720&111&*9301&,서울특별시 종로구 동호로 398 마전교지하쇼핑센터,서울특별시 종로구 종로5가 194-1,서울특별시,종로구,종로5가,194-1
100000122,현대그룹빌딩,N,37.5758667,127.0005333,서울,71433,107&108&102&109&162&301&7025&,,서울특별시 종로구 연지동 1-14,서울특별시,종로구,연지동,1-14
100000123,통신대(이화장),N,37.5781667,127.00245,서울,71434,106&107&108&150&100&102&104&109&140&143&160&162&2112&273&301&601&710&N16&,서울특별시 종로구 대학로 86 한국방송통신대학교,서울특별시 종로구 동숭동 169-1,서울특별시,종로구,동숭동,169-1
100000124,혜화역마로니에공원,N,37.58115,127.0022667,서울,71435,106&107&108&150&100&102&104&109&140&143&160&162&2112&273&301&710&90S투어&91S투어&N16&,,서울특별시 종로구 동숭동 1-177,서울특별시,종로구,동숭동,1-177
100000129,이화동(이화장),N,37.5759667,127.0032667,서울,71436,107&108&102&301&7025&N16&,서울특별시 종로구 율곡로 220-1,서울특별시 종로구 이화동 207-2,서울특별시,종로구,이화동,207-2
100000133,혜화역동성중고(장면총리가옥),N,37.5846,127.0017167,서울,71437,106&107&108&150&100&102&104&109&140&143&160&162&2112&273&710&N16&,서울특별시 종로구 대학로 156 동성중고교,서울특별시 종로구 혜화동 90-7,서울특별시,종로구,혜화동,90-7
100000137,동대문,N,37.5723,127.0138,서울,71438,152&201&720&101&103&105&144&2112&2233&260&261&262&270&271&420&N13&N15&N26&N30&,서울특별시 종로구 종로 324-1,서울특별시 종로구 창신동 330-56,서울특별시,종로구,창신동,330-56
100000138,동대문,N,37.5725667,127.0145833,서울,71519,*9403&111&*9301&370&721&9403&,서울특별시 종로구 지봉로 24,서울특별시 종로구 창신동 310-3,서울특별시,종로구,창신동,310-3
100000146,숭인동,N,37.574,127.0195333,서울,71022,111&*9301&,서울특별시 종로구 종로 378-1,서울특별시 종로구 숭인동 207-25,서울특별시,종로구,숭인동,207-25
100000147,신설동로타리,N,37.5755333,127.0226833,서울,71024,152&111&101&1014&103&144&N15&,,서울특별시 종로구 숭인동 1311,서울특별시,종로구,숭인동,1311
100000154,서울역사박물관(경교장),N,37.5700167,126.97205,서울,71027,*9701&*9709&9709공차&*9710&9701&9709&,,서울특별시 종로구 신문로1가 61-7,서울특별시,종로구,신문로1가,61-7
100000165,숭인동,N,37.5740167,127.0196,서울,71452,*9403&,서울특별시 종로구 종로 380,서울특별시 종로구 숭인동 207-24,서울특별시,종로구,숭인동,207-24
100000169,조계사,N,37.5727667,126.9832,서울,71006,*9401&9401공&*7900&*5000&*5005&*5500-1&*9000&*5500&*1005-1&*5500-2&151&162&172&401&406&7022&704&9401&9401공차&,서울특별시 종로구 우정국로 42,서울특별시 종로구 견지동 99-1,서울특별시,종로구,견지동,99-1
100000174,세종문화회관,N,37.5728333,126.9764167,서울,71003,*9401&*9703&9401공&*7900&*5000&*5005&*5500-1&*9000&*5500&*1005-1&*5500-2&103&150&1711&401&402&406&700&7016&7018&7022&704&707&7212&,,서울특별시 종로구 세종로 80-12,서울특별시,종로구,세종로,80-12
100000355,평창동삼성아파트,N,37.6111167,126.9786833,서울,71414,7211&1020&110A고려대&153&1711&,서울특별시 종로구 평창문화로 172 평창동삼성아파트,서울특별시 종로구 평창동 596,서울특별시,종로구,평창동,596
100000362,영천시장(중),Y,37.5697667,126.9628333,서울,71516,471&701&702A서오릉&702B용두초&703&704&720&*9701&*9703&*9709&N37&705&*9710&99&,,서울특별시 종로구 교북동 89-4,서울특별시,종로구,교북동,89-4
100000363,영천시장(중),Y,37.5699833,126.9625,서울,71515,471&701&702A서오릉&702B용두초&703&704&706&720&750A&*9701&*9709&9709공차&N37&705&*9710&99&,,서울특별시 서대문구 영천동 341-1,서울특별시,서대문구,영천동,341-1
100000365,동대문(흥인지문)(중),Y,37.5721,127.0124833,서울,71513,152&201&720&111&*9301&,서울특별시 종로구 종로 302 1호선 동대문역,서울특별시 종로구 창신동 507-2,서울특별시,종로구,창신동,507-2
100000366,동묘앞(중),Y,37.5737667,127.0185667,서울,71517,152&201&720&,,서울특별시 종로구 숭인동 151-4,서울특별시,종로구,숭인동,151-4
100000367,동묘앞(중),Y,37.5742167,127.0195333,서울,71514,152&201&720&*9403&111&*9301&,,서울특별시 종로구 숭인동 170,서울특별시,종로구,숭인동,170
100000368,서대문역사거리.적십자병원,N,37.5667667,126.9673167,서울,71002,471&704&720&N37&101&470&601&710&,,서울특별시 종로구 평동 207,서울특별시,종로구,평동,207
