subway,창동역,,37.65328521,127.0477927,,412,,경원선&4호선,,서울특별시 도봉구 마들로11길 77 창동역,서울특별시 도봉구 창동 135-1,서울특별시,도봉구,창동,135-1
subway,쌍문역,,37.64861524,127.0351078,,413,,4호선,,서울특별시 도봉구 도봉로 484,서울특별시 도봉구 창동 659-12,서울특별시,도봉구,창동,659-12
subway,수유역,,37.63759681,127.0256085,,414,,4호선,,서울특별시 강북구 도봉로 334 영광빌딩,서울특별시 강북구 번동 446-50,서울특별시,강북구,번동,446-50
subway,미아역,,37.62647856,127.0264659,,415,,4호선,,서울특별시 강북구 도봉로 200 삼양주유소,서울특별시 강북구 미아동 197-14,서울특별시,강북구,미아동,197-14
subway,미아사거리역,,37.61331615,127.0303576,,416,,4호선,,서울특별시 강북구 도봉로 48,서울특별시 강북구 미아동 71-5,서울특별시,강북구,미아동,71-5
subway,길음역,,37.6034498,127.0248863,,417,,4호선,,서울특별시 성북구 동소문로 248 삼부아파트,서울특별시 성북구 길음동 1276-2,서울특별시,성북구,길음동,1276-2
subway,성신여대입구역,,37.59283757,127.0165313,,418,,4호선,,,서울특별시 성북구 동선동4가 1-1,서울특별시,성북구,동선동4가,1-1
subway,한성대입구역,,37.5884957,127.0059056,,419,,4호선,,,서울특별시 성북구 성북동1가 50-3,서울특별시,성북구,성북동1가,50-3
subway,혜화역,,37.58217807,127.0018975,,420,,4호선,,서울특별시 종로구 대학로 120,서울특별시 종로구 동숭동 67-2,서울특별시,종로구,동숭동,67-2
subway,명동역,,37.56110477,126.9861788,,424,,4호선,,서울특별시 중구 퇴계로 124 명동역지하쇼핑센터,서울특별시 중구 충무로2가 111,서울특별시,중구,충무로2가,111
subway,회현역,,37.55870688,126.9784787,,425,,4호선,,서울특별시 중구 퇴계로 54 회현역 4호선,서울특별시 중구 남창동 116-1,서울특별시,중구,남창동,116-1
subway,숙대입구역,,37.54445188,126.9724858,,427,,4호선,,서울특별시 용산구 한강대로 294 농협남영동지점,서울특별시 용산구 남영동 20,서울특별시,용산구,남영동,20
subway,삼각지역,,37.53484755,126.9734988,,428,,6호선&4호선,,서울특별시 용산구 한강대로 180 4호선 삼각지역,서울특별시 용산구 한강로1가 228-1,서울특별시,용산구,한강로1가,228-1
subway,신용산역,,37.52918797,126.968342,,429,,4호선,,서울특별시 용산구 한강대로 112 4호선 신용산역,서울특별시 용산구 한강로2가 181,서울특별시,용산구,한강로2가,181
subway,이촌역,,37.52212565,126.9741234,,430,,경원선&4호선,,,서울특별시 용산구 용산동5가 17-69,서울특별시,용산구,용산동5가,17-69
subway,동작역,,37.50284532,126.9788804,,431,,9호선&4호선,,서울특별시 동작구 현충로 220 9호선 동작역,서울특별시 동작구 동작동 326,서울특별시,동작구,동작동,326
subway,총신대입구역,,37.48608012,126.9822458,,432,,4호선,,,서울특별시 서초구 방배동 2298,서울특별시,서초구,방배동,2298
subway,남태령역,,37.46415062,126.9889974,,434,,4호선,,,서울특별시 서초구 방배동 2911-2,서울특별시,서초구,방배동,2911-2
subway,남영역,,37.54154316,126.971197,,1002,,경부선,,서울특별시 용산구 한강대로77길 25 남영역,서울특별시 용산구 갈월동 96-1,서울특별시,용산구,갈월동,96-1
subway,용산역,,37.52967336,126.9644817,,1003,,경부선,,서울특별시 용산구 한강대로23길 55 용산민자역사,서울특별시 용산구 한강로3가 40-999,서울특별시,용산구,한강로3가,40-999
subway,노량진역,,37.51416056,126.9434509,,1004,,경부선&9호선,,서울특별시 동작구 노량진로 151 철도 초소,서울특별시 동작구 노량진동 112-1,서울특별시,동작구,노량진동,112-1
subway,대방역,,37.51382684,126.9267924,,1005,,경부선,,서울특별시 영등포구 여의대방로62길 2 봉덕빌딩,서울특별시 영등포구 신길동 1432,서울특별시,영등포구,신길동,1432
subway,영등포역,,37.51543483,126.9074713,,1006,,경부선,,서울특별시 영등포구 경인로102길 13 영등포 민자역사,서울특별시 영등포구 영등포동 618-496,서울특별시,영등포구,영등포동,618-496
subway,서빙고역,,37.51940709,126.9883773,,1009,,경원선,,서울특별시 용산구 서빙고로62길 3,서울특별시 용산구 서빙고동 241-11,서울특별시,용산구,서빙고동,241-11
subway,한남역,,37.52940865,127.0087078,,1010,,경원선,,,서울특별시 용산구 한남동 399-8,서울특별시,용산구,한남동,399-8
subway,응봉역,,37.5499289,127.0344297,,1012,,경원선,,,서울특별시 성동구 응봉동 3-10,서울특별시,성동구,응봉동,3-10
subway,회기역,,37.58959942,127.0581337,,1015,,중앙선,,서울특별시 동대문구 휘경로12길 55,서울특별시 동대문구 휘경동 267-122,서울특별시,동대문구,휘경동,267-122
subway,외대앞역,,37.59602963,127.0637459,,1016,,경원선,,서울특별시 동대문구 휘경로11가길 4-2,서울특별시 동대문구 이문동 126-38,서울특별시,동대문구,이문동,126-38
subway,신이문역,,37.60203541,127.0673928,,1017,,경원선,,,서울특별시 동대문구 이문동 360-1,서울특별시,동대문구,이문동,360-1
subway,석계역,,37.61465339,127.0662622,,1018,,경원선&6호선,,,서울특별시 성북구 석관동 375-95,서울특별시,성북구,석관동,375-95
subway,광운대역,,37.62355743,127.0618069,,1019,,경원선,,서울특별시 노원구 석계로 98-2 성북역,서울특별시 노원구 월계동 85,서울특별시,노원구,월계동,85
subway,월계역,,37.63309847,127.05886,,1020,,경원선,,,서울특별시 노원구 월계동 263-6,서울특별시,노원구,월계동,263-6
subway,녹천역,,37.64414708,127.0531669,,1021,,경원선,,서울특별시 도봉구 덕릉로66길 17 주공17단지아파트,서울특별시 도봉구 창동 38,서울특별시,도봉구,창동,38
subway,한티역,,37.49629145,127.0529247,,1024,,분당선,,서울특별시 강남구 선릉로 228 한티역,서울특별시 강남구 대치동 1011-28,서울특별시,강남구,대치동,1011-28
subway,구룡역,,37.48719208,127.0591644,,1026,,분당선,,서울특별시 강남구 개포로 403 구룡역,서울특별시 강남구 개포동 175-3,서울특별시,강남구,개포동,175-3
subway,개포동역,,37.48869485,127.0663117,,1027,,분당선,,서울특별시 강남구 개포로 420 개포동역,서울특별시 강남구 개포동 198,서울특별시,강남구,개포동,198
subway,대모산입구역,,37.49146604,127.0730534,,1028,,분당선,,서울특별시 강남구 개포로 522 대모산입구역,서울특별시 강남구 일원동 700,서울특별시,강남구,일원동,700
subway,복정역,,37.46948021,127.1266825,,1031,,분당선&8호선,,서울특별시 송파구 송파대로 6 복정역,서울특별시 송파구 장지동 596-21,서울특별시,송파구,장지동,596-21
subway,신길역,,37.51693749,126.9167221,,1032,,경부선&5호선,,,서울특별시 영등포구 신길동 31-51,서울특별시,영등포구,신길동,31-51
subway,중랑역,,37.59486937,127.0758472,,1201,,중앙선,,서울특별시 중랑구 중랑역로 9 중랑역사,서울특별시 중랑구 중화동 73-7,서울특별시,중랑구,중화동,73-7
subway,망우역,,37.59942757,127.0924072,,1203,,중앙선,,서울특별시 중랑구 망우로55길 11-10,서울특별시 중랑구 상봉동 172,서울특별시,중랑구,상봉동,172
subway,양원역,,37.60659371,127.1078406,,1204,,중앙선,,서울특별시 중랑구 송림길 147 양원역사,서울특별시 중랑구 망우동 253-9,서울특별시,중랑구,망우동,253-9
subway,구리역,,37.60298823,127.1435663,,1205,,중앙선,,,경기도 구리시 인창동 689,경기도,구리시,인창동,689
subway,도농역,,37.6083356,127.1611533,,1206,,중앙선,,,경기도 남양주시 도농동,경기도,남양주시,도농동,
subway,양정역,,37.60396116,127.1944472,,1207,,중앙선,,경기도 남양주시 경강로 237 양정역,경기도 남양주시 이패동 387-27,경기도,남양주시,이패동,387-27
subway,덕소역,,37.58717886,127.2086244,,1208,,중앙선,,경기도 남양주시 와부읍 덕소로 56 덕소역,경기도 남양주시 와부읍 덕소리 590-17,경기도,남양주시 와부읍,덕소리,590-17
subway,도심역,,37.57956745,127.2224782,,1209,,중앙선,,,경기도 남양주시 와부읍 도곡리 1024-34,경기도,남양주시 와부읍,도곡리,1024-34
subway,팔당역,,37.54709038,127.2436563,,1210,,중앙선,,,경기도 남양주시 와부읍 팔당리 399-11,경기도,남양주시 와부읍,팔당리,399-11
subway,운길산역,,37.55450223,127.3106773,,1211,,중앙선,,,경기도 남양주시 조안면 진중리 227-3,경기도,남양주시 조안면,진중리,227-3
subway,양수역,,37.54580343,127.3289729,,1212,,중앙선,,경기도 양평군 양서면 목왕로 55-10 양수역,경기도 양평군 양서면 용담리 255-5,경기도,양평군 양서면,용담리,255-5
subway,신원역,,37.52549099,127.3730035,,1213,,중앙선,,경기도 양평군 양서면 신원역길 7,경기도 양평군 양서면 신원리 480-29,경기도,양평군 양서면,신원리,480-29
subway,국수역,,37.51639959,127.3980694,,1214,,중앙선,,,경기도 양평군 양서면 국수리 산53-2,경기도,양평군 양서면,국수리,산53-2
subway,아신역,,37.51371547,127.4435249,,1215,,중앙선,,경기도 양평군 옥천면 아신역길 30 아신역,경기도 양평군 옥천면 아신리 산112-2,경기도,양평군 옥천면,아신리,산112-2
subway,오빈역,,37.50610265,127.4736543,,1216,,중앙선,,,경기도 양평군 양평읍 오빈리 산54-4,경기도,양평군 양평읍,오빈리,산54-4
subway,원덕역,,37.46859623,127.5464875,,1218,,중앙선,,,경기도 양평군 양평읍 원덕리 400-8,경기도,양평군 양평읍,원덕리,400-8
subway,용문역,,37.48170369,127.593706,,1219,,중앙선,,,경기도 양평군 용문면 다문리 748-2,경기도,양평군 용문면,다문리,748-2
subway,서강대역,,37.55169909,126.9356721,,1263,,경의선,,,서울특별시 마포구 노고산동 124-2,서울특별시,마포구,노고산동,124-2
subway,가좌역,,37.56873943,126.9146712,,1265,,경의선,,,서울특별시 서대문구 남가좌동 296-10,서울특별시,서대문구,남가좌동,296-10
subway,수색역,,37.58133788,126.8958182,,1267,,경의선,,서울특별시 은평구 수색로 253,서울특별시 은평구 수색동 81-1,서울특별시,은평구,수색동,81-1
subway,화전역,,37.60293349,126.8681561,,1268,,경의선,,,경기도 고양시 덕양구 화전동 584,경기도,고양시 덕양구,화전동,584
subway,강매역,,37.61263629,126.8454869,,1269,,경의선,,,경기도 고양시 덕양구 행신동 108-10,경기도,고양시 덕양구,행신동,108-10
subway,행신역,,37.61208051,126.8343888,,1270,,경의선,,,경기도 고양시 덕양구 강매동 613-1,경기도,고양시 덕양구,강매동,613-1
subway,능곡역,,37.61908706,126.8201013,,1271,,경의선,,,경기도 고양시 덕양구 토당동 499-1,경기도,고양시 덕양구,토당동,499-1
subway,곡산역,,37.6457266,126.801907,,1272,,경의선,,,경기도 고양시 일산동구 백석동 34-9,경기도,고양시 일산동구,백석동,34-9
subway,백마역,,37.6576077,126.7950756,,1273,,경의선,,,경기도 고양시 일산동구 풍동 461-4,경기도,고양시 일산동구,풍동,461-4
subway,풍산역,,37.67200696,126.7859678,,1274,,경의선,,,경기도 고양시 일산동구 정발산동 1355-1,경기도,고양시 일산동구,정발산동,1355-1
subway,일산역,,37.68207041,126.7696142,,1275,,경의선,,경기도 고양시 일산서구 경의로 672 일산역,경기도 고양시 일산서구 일산동 655-691,경기도,고양시 일산서구,일산동,655-691
subway,탄현역,,37.69358528,126.7608707,,1276,,경의선,,,경기도 고양시 일산서구 덕이동 271-1,경기도,고양시 일산서구,덕이동,271-1
